cell_type	cell_size	epochs	embedding_size	train_loss	test_loss
LSTM	128.0	2.0	27.0	1.2054316997528076	0.8824242353439331
LSTM	128.0	2.0	25.0	0.9877075552940368	0.5709275007247925
LSTM	16.0	2.0	29.0	1.3617483377456665	1.3183170557022097
LSTM	512.0	2.0	8.0	1.1560008525848389	0.7878134846687317
LSTM	16.0	2.0	16.0	1.3203423023223877	1.0700845718383791
GRU	256.0	2.0	14.0	0.8982041478157043	0.8308159112930298
GRU	32.0	2.0	13.0	0.9406434297561646	0.5709857344627379
GRU	16.0	2.0	29.0	1.152468204498291	0.8447078466415405
GRU	256.0	2.0	19.0	0.8714748024940491	0.39466649293899536
GRU	32.0	2.0	2.0	1.2867270708084106	0.8308625221252441
LSTM	128.0	2.0	20.0	1.1066097021102903	0.6671405434608461
LSTM	16.0	2.0	3.0	1.3059720993041992	1.1246933937072754
GRU	512.0	2.0	12.0	0.7910292744636536	0.312593013048172
LSTM	512.0	2.0	20.0	1.0901618003845217	0.6456403136253357
LSTM	64.0	2.0	27.0	1.2481943368911743	0.9483633041381836
GRU	512.0	2.0	5.0	0.9780023694038392	0.4561972618103027
LSTM	512.0	2.0	8.0	1.0648856163024902	0.6380184292793274
GRU	128.0	2.0	26.0	1.0908738374710083	0.5840860605239868
LSTM	64.0	2.0	9.0	1.1369645595550537	0.8569214344024658
LSTM	64.0	2.0	7.0	1.2081379890441897	0.9131709337234496
LSTM	256.0	2.0	6.0	1.172105312347412	0.7816157937049866
LSTM	128.0	2.0	2.0	1.2107611894607544	1.002102255821228
LSTM	128.0	2.0	16.0	1.1662253141403198	0.8259089589118958
GRU	16.0	2.0	17.0	0.742599606513977	0.5902021527290344
LSTM	128.0	2.0	5.0	1.0197031497955322	0.670660138130188
LSTM	128.0	2.0	5.0	1.1135773658752441	1.1454017162322998
LSTM	256.0	2.0	14.0	1.0429421663284302	0.6926379203796387
LSTM	256.0	2.0	10.0	1.1899484395980835	0.8312649130821228
LSTM	512.0	2.0	16.0	1.0978878736495972	0.7169117927551271
LSTM	16.0	2.0	3.0	0.840167760848999	0.71770179271698
LSTM	16.0	2.0	21.0	1.2483569383621216	1.2561074495315552
LSTM	128.0	2.0	8.0	1.0750699043273926	0.7194379568099976
GRU	256.0	2.0	14.0	0.8541885614395142	0.3863555192947388
LSTM	16.0	2.0	27.0	1.2106016874313354	0.9229483008384703
GRU	256.0	2.0	21.0	0.9136832356452942	0.4046410024166107
GRU	32.0	2.0	10.0	0.9397562146186828	0.5406202077865601
GRU	512.0	2.0	25.0	0.8461253643035889	0.3009376525878906
LSTM	64.0	2.0	26.0	0.9573214054107666	0.552845299243927
LSTM	32.0	2.0	24.0	1.0376087427139282	0.7803026437759399
LSTM	128.0	2.0	3.0	1.1878273487091064	0.7950317263603209
GRU	256.0	2.0	23.0	0.9867005348205566	0.431786984205246
LSTM	32.0	2.0	13.0	1.1803770065307615	1.0166620016098022
GRU	32.0	2.0	23.0	1.1710357666015625	0.7431291341781616
LSTM	32.0	2.0	6.0	1.0380479097366333	0.8053378462791443
GRU	32.0	2.0	25.0	0.8921264410018921	0.5489065051078796
GRU	32.0	2.0	7.0	1.241917848587036	0.824682354927063
LSTM	128.0	2.0	3.0	1.2863044738769531	1.1200598478317259
LSTM	128.0	2.0	13.0	0.9959614276885986	0.6065529584884644
GRU	32.0	2.0	26.0	1.423760175704956	0.7738916277885437
GRU	32.0	2.0	12.0	1.0735794305801392	0.6030811667442322
LSTM	256.0	2.0	19.0	0.9607372879981996	0.5008792281150818
LSTM	32.0	2.0	18.0	1.1672648191452026	0.9553853273391724
LSTM	512.0	2.0	12.0	1.1045750379562378	0.7033363580703735
GRU	128.0	2.0	25.0	0.9839704036712646	0.43617045879364014
GRU	128.0	2.0	19.0	0.8493102788925171	0.4754230082035065
GRU	16.0	2.0	9.0	0.9893560409545898	0.717037558555603
GRU	128.0	2.0	15.0	0.9320712089538574	0.4550942182540894
GRU	16.0	2.0	10.0	1.267604112625122	0.97994065284729
GRU	64.0	2.0	23.0	1.2842307090759275	0.8695213794708252
LSTM	32.0	2.0	17.0	1.171525478363037	0.8504192233085632
GRU	32.0	2.0	2.0	0.9147226810455322	0.6478691101074219
LSTM	128.0	2.0	23.0	1.07282817363739	0.6664273738861084
GRU	128.0	2.0	6.0	1.12796950340271	0.6906427145004272
LSTM	512.0	2.0	8.0	1.1495683193206787	0.7875255346298218
GRU	256.0	2.0	4.0	0.9888835549354552	0.44861283898353577
GRU	32.0	2.0	21.0	0.9209168553352356	0.5405756831169128
LSTM	512.0	2.0	3.0	1.0261733531951904	0.6014088988304138
GRU	512.0	2.0	24.0	0.8960784673690796	0.4021692872047424
LSTM	256.0	2.0	15.0	1.1434186697006226	0.7870781421661377
GRU	256.0	2.0	28.0	0.8301138877868652	0.3275171220302582
LSTM	64.0	2.0	7.0	1.1451778411865234	0.7924777865409851
LSTM	16.0	2.0	19.0	1.116948127746582	0.9839599132537842
GRU	512.0	2.0	3.0	1.1158863306045532	0.6235028505325317
LSTM	16.0	2.0	15.0	1.3301992416381836	1.1139405965805054
