data.val_dec_shape	data.train_dec_shape	data.enc_shape	result.val_loss	data.val_enc_shape	data.dec_shape	result.patience	data.test_dec_shape	data.label_counts	data.train_enc_shape	result.test_loss	conf.cell_size	conf.embedding_size	result.val_loss_th	result.epochs_run	result.running_time	conf.cell_type	data.test_enc_shape	result.train_loss
(19786, 118)	(160326, 118)	(200000, 117)	2.394611120223999	(19786, 117)	(200000, 118)	10.0	(19888, 118)	{'E': 1488310, 'GO': 200000, 'PAD': 21354286, 'B': 557404}	(160326, 117)	2.39434552192688	512.0	13.0	0.01	89.0	613.540962	LSTM	(19888, 117)	0.04945661127567291
(19821, 118)	(160211, 118)	(200000, 117)	0.11836352944374084	(19821, 117)	(200000, 118)	10.0	(19968, 118)	{'E': 1488310, 'PAD': 21354286, 'GO': 200000, 'B': 557404}	(160211, 117)	0.11868512630462645	256.0	10.0	0.01	40.0	115.664646	LSTM	(19968, 117)	0.07522769272327423
(19821, 118)	(160211, 118)	(200000, 117)	9.52932834625244	(19821, 117)	(200000, 118)	10.0	(19968, 118)	{'E': 1488310, 'PAD': 21354286, 'GO': 200000, 'B': 557404}	(160211, 117)	9.527024269104004	16.0	20.0	0.01	270.0	128.460179	GRU	(19968, 117)	0.006999557372182608
(20116, 118)	(159871, 118)	(200000, 117)	3.3591365814208984	(20116, 117)	(200000, 118)	10.0	(20013, 118)	{'B': 557404, 'PAD': 21354286, 'GO': 200000, 'E': 1488310}	(159871, 117)	3.370645761489868	16.0	12.0	0.01	67.0	31.576747	GRU	(20013, 117)	0.05888663977384567
(19856, 118)	(160161, 118)	(200000, 117)	0.9193335771560668	(19856, 117)	(200000, 118)	10.0	(19983, 118)	{'GO': 200000, 'E': 1488310, 'B': 557404, 'PAD': 21354286}	(160161, 117)	0.9003012180328369	32.0	21.0	0.01	144.0	86.87884	GRU	(19983, 117)	0.02561340481042862
(19783, 118)	(160144, 118)	(200000, 117)	0.20415209233760834	(19783, 117)	(200000, 118)	10.0	(20073, 118)	{'E': 1488310, 'B': 557404, 'PAD': 21354286, 'GO': 200000}	(160144, 117)	0.2035117894411087	256.0	22.0	0.01	101.0	292.399542	LSTM	(20073, 117)	0.04397686943411827
(19926, 118)	(160289, 118)	(200000, 117)	0.4001836180686951	(19926, 117)	(200000, 118)	10.0	(19785, 118)	{'GO': 200000, 'E': 1488310, 'B': 557404, 'PAD': 21354286}	(160289, 117)	0.3996216058731079	128.0	16.0	0.01	88.0	103.416969	GRU	(19785, 117)	0.04136960208415985
(19926, 118)	(160289, 118)	(200000, 117)	0.17370276153087616	(19926, 117)	(200000, 118)	10.0	(19785, 118)	{'GO': 200000, 'E': 1488310, 'B': 557404, 'PAD': 21354286}	(160289, 117)	0.1730971485376358	128.0	5.0	0.01	120.0	158.235904	LSTM	(19785, 117)	0.044030506163835526
(19874, 118)	(160311, 118)	(200000, 117)	2.743724584579468	(19874, 117)	(200000, 118)	10.0	(19815, 118)	{'B': 557404, 'PAD': 21354286, 'E': 1488310, 'GO': 200000}	(160311, 117)	2.743601083755493	32.0	13.0	0.01	102.0	54.064553000000004	LSTM	(19815, 117)	0.05613382905721664
(19874, 118)	(160311, 118)	(200000, 117)	0.17717480659484866	(19874, 117)	(200000, 118)	10.0	(19815, 118)	{'B': 557404, 'PAD': 21354286, 'E': 1488310, 'GO': 200000}	(160311, 117)	0.17783348262310028	512.0	29.0	0.01	106.0	749.578255	LSTM	(19815, 117)	0.04195199534296989
(19874, 118)	(160311, 118)	(200000, 117)	2.1426942348480225	(19874, 117)	(200000, 118)	10.0	(19815, 118)	{'B': 557404, 'PAD': 21354286, 'E': 1488310, 'GO': 200000}	(160311, 117)	2.139648675918579	16.0	9.0	0.01	123.0	51.15567	GRU	(19815, 117)	0.03515370190143585
(19874, 118)	(160311, 118)	(200000, 117)	2.296962022781372	(19874, 117)	(200000, 118)	10.0	(19815, 118)	{'B': 557404, 'PAD': 21354286, 'E': 1488310, 'GO': 200000}	(160311, 117)	2.296855926513672	512.0	3.0	0.01	97.0	663.102071	LSTM	(19815, 117)	0.05149666592478752
(20053, 118)	(160061, 118)	(200000, 117)	3.8894226551055913	(20053, 117)	(200000, 118)	10.0	(19886, 118)	{'GO': 200000, 'PAD': 21354286, 'B': 557404, 'E': 1488310}	(160061, 117)	3.885032176971436	32.0	25.0	0.01	53.0	33.929709	LSTM	(19886, 117)	0.07242801785469055
(20053, 118)	(160061, 118)	(200000, 117)	0.6780043840408325	(20053, 117)	(200000, 118)	10.0	(19886, 118)	{'GO': 200000, 'PAD': 21354286, 'B': 557404, 'E': 1488310}	(160061, 117)	0.6623047590255737	16.0	12.0	0.01	200.0	84.095738	GRU	(19886, 117)	0.01897695288062096
(20053, 118)	(160061, 118)	(200000, 117)	0.15517154335975647	(20053, 117)	(200000, 118)	10.0	(19886, 118)	{'GO': 200000, 'PAD': 21354286, 'B': 557404, 'E': 1488310}	(160061, 117)	0.15494056046009064	512.0	12.0	0.01	73.0	399.144794	GRU	(19886, 117)	0.035319559276103966
(20200, 118)	(159734, 118)	(200000, 117)	2.8123395442962646	(20200, 117)	(200000, 118)	10.0	(20066, 118)	{'PAD': 21354286, 'E': 1488310, 'GO': 200000, 'B': 557404}	(159734, 117)	2.812587022781372	32.0	24.0	0.01	75.0	45.770966	LSTM	(20066, 117)	0.06264951825141908
(20200, 118)	(159734, 118)	(200000, 117)	0.14092278480529785	(20200, 117)	(200000, 118)	10.0	(20066, 118)	{'PAD': 21354286, 'E': 1488310, 'GO': 200000, 'B': 557404}	(159734, 117)	0.1432914286851883	16.0	1.0	0.01	41.0	18.08751	GRU	(20066, 117)	0.08938733488321304
(20200, 118)	(159734, 118)	(200000, 117)	2.103590965270996	(20200, 117)	(200000, 118)	10.0	(20066, 118)	{'PAD': 21354286, 'E': 1488310, 'GO': 200000, 'B': 557404}	(159734, 117)	2.099729061126709	16.0	24.0	0.01	88.0	47.60217100000001	GRU	(20066, 117)	0.037367749959230416
(20048, 118)	(159684, 118)	(200000, 117)	4.296034812927246	(20048, 117)	(200000, 118)	10.0	(20268, 118)	{'GO': 200000, 'E': 1488310, 'PAD': 21354286, 'B': 557404}	(159684, 117)	4.304272651672363	32.0	16.0	0.01	251.0	139.925167	GRU	(20268, 117)	0.0050770682282745856
